customer_id,total_visits,total_spend_inr,avg_order_value,days_active,first_visit,last_visit,estimated_clv_inr,customer_segment,age,gender,area,is_loyalty_member
C00001,148,68383.58,462.05,1092,2022-01-05,2024-12-31,282660.85,Office Lunch Customer,24,Male,Malad,False
C00002,146,277090.81,1897.88,1076,2022-01-11,2024-12-21,596062.04,Weekend Family Diner,40,Female,Andheri,False
C00003,134,259848.57,1939.17,1087,2022-01-10,2024-12-31,663425.42,Weekend Family Diner,38,Male,Bandra,True
C00004,152,91995.79,605.24,1078,2022-01-14,2024-12-26,187800.59,Late Night Delivery User,23,Female,Goregaon,False
C00005,147,83639.74,568.98,1077,2022-01-20,2024-12-31,285926.39,Late Night Delivery User,28,Male,Worli,False
C00006,139,61956.69,445.73,1093,2022-01-01,2024-12-28,141660.79,Office Lunch Customer,37,Male,Powai,True
C00007,150,98198.54,654.66,1089,2022-01-08,2024-12-31,413013.33,Late Night Delivery User,23,Male,Powai,False
C00008,156,102164.72,654.9,1065,2022-01-24,2024-12-23,228184.45,Late Night Delivery User,28,Female,Juhu,False
C00009,157,85561.35,544.98,1088,2022-01-07,2024-12-29,361383.68,Occasional Visitor,36,Female,Goregaon,False
C00010,124,70186.34,566.02,1093,2022-01-04,2024-12-31,114073.35,Occasional Visitor,41,Female,Andheri,False
C00011,161,93164.82,578.66,1094,2022-01-03,2024-12-31,356683.69,Occasional Visitor,24,Male,Malad,True
C00012,141,28885.89,204.86,1075,2022-01-11,2024-12-20,57256.82,Student Budget Diner,26,Male,Goregaon,True
C00013,105,307751.38,2930.97,1039,2022-02-27,2024-12-31,771797.33,Premium High Spender,47,Female,Kandivali,False
C00014,116,59560.09,513.45,1084,2022-01-06,2024-12-24,201576.51,Office Lunch Customer,41,Male,Borivali,False
C00015,132,87991.26,666.6,1090,2022-01-07,2024-12-31,255310.56,Late Night Delivery User,29,Male,Andheri,False
C00016,145,27865.07,192.17,1091,2022-01-01,2024-12-26,68049.07,Student Budget Diner,18,Male,Kurla,False
C00017,144,69811.43,484.8,1089,2022-01-01,2024-12-24,251612.28,Office Lunch Customer,33,Male,Dadar,False
C00018,133,89480.83,672.79,1088,2022-01-04,2024-12-26,376807.64,Late Night Delivery User,25,Female,Bandra,True
C00019,141,70420.37,499.44,1093,2022-01-03,2024-12-30,200795.39,Office Lunch Customer,35,Female,Bandra,False
C00020,142,68305.39,481.02,1089,2022-01-03,2024-12-26,274045.93,Office Lunch Customer,40,Male,Andheri,False
C00021,124,362746.58,2925.38,1091,2022-01-04,2024-12-29,1513177.56,Premium High Spender,37,Female,Powai,True
