date,year,month,day,day_of_week,week_of_year,quarter,is_weekend,is_month_start,is_month_end,is_festival_day,festival_window,is_public_holiday,season,season_code,season_multiplier,temperature_c,rainfall_mm,humidity_pct,heavy_rain,is_promotion_day,discount_pct,online_delivery_active,delivery_growth_factor,staff_on_duty,competitor_nearby,lockdown_level,avg_order_value_inr,menu_item_count,google_rating,dow_effect,month_effect,yoy_growth,total_orders,orders_lag_1,orders_lag_7,orders_lag_30,orders_roll_7_mean,orders_roll_30_mean,orders_roll_7_std
2019-01-01,2019,1,1,1,1,1,0,1,0,0,0,0,Winter,3,1.05,18.993428306022466,5.676432558498414,62.092656725740184,0,0,0.0,0,1.0,7,0,0,312.41739330984166,40,3.9,0.82,0.95,1.0,114,,,,,,
2019-01-02,2019,1,2,2,1,1,0,0,0,0,0,0,Winter,3,1.05,17.72347139765763,2.246457986449028,42.5609567173246,0,0,0.0,0,1.0,10,0,0,277.66818686001943,40,4.1,0.88,0.95,1.0,124,114.0,,,,,
2019-01-03,2019,1,3,3,1,1,0,0,0,0,0,0,Winter,3,1.05,19.295377076201383,4.502834892867231,61.38482693044094,0,0,0.0,0,1.0,10,0,0,374.7227397572017,40,4.1,0.9,0.95,1.0,118,124.0,,,,,
2019-01-04,2019,1,4,4,1,1,0,0,0,0,0,0,Winter,3,1.05,21.04605971281605,0.05091426876271543,56.69011740550854,0,0,0.0,0,1.0,9,0,0,363.86108073252,41,4.2,1.0,0.95,1.0,130,118.0,,,,,
2019-01-05,2019,1,5,5,1,1,1,0,0,0,0,0,Winter,3,1.05,17.531693250553328,5.054326549630213,48.964891760713925,0,0,0.0,0,1.0,12,0,0,359.66267917875416,38,4.0,1.35,0.95,1.0,184,130.0,,,,,
2019-01-06,2019,1,6,6,1,1,1,0,0,0,0,0,Winter,3,1.05,17.53172608610164,12.225754297699062,49.62343803475381,0,0,0.0,0,1.0,12,0,0,338.8100417998363,42,4.0,1.25,0.95,1.0,163,184.0,,,,,
2019-01-07,2019,1,7,0,2,1,0,0,0,0,0,0,Winter,3,1.05,21.158425631014783,4.741145219464216,63.38196513604102,0,0,0.0,0,1.0,9,0,0,411.4958692273716,42,4.1,0.85,0.95,1.0,102,163.0,,,,,
2019-01-08,2019,1,8,1,2,1,0,0,0,0,0,0,Winter,3,1.05,19.534869458305817,10.345420566187718,50.272465600286345,0,0,0.0,0,1.0,9,0,0,406.56441562427125,38,4.2,0.82,0.95,1.0,109,102.0,114.0,,133.57142857142858,,29.256663872567238
2019-01-09,2019,1,9,2,2,1,0,0,0,0,0,0,Winter,3,1.05,17.061051228130097,6.436283964535804,49.233247447020204,0,0,0.0,0,1.0,7,0,0,250.50172965175483,38,4.0,0.88,0.95,1.0,118,109.0,124.0,,132.85714285714286,,29.868760555852617
2019-01-10,2019,1,10,3,2,1,0,0,0,0,0,0,Winter,3,1.05,19.08512008717193,0.6423406851299852,60.68657271182364,0,1,18.8,0,1.0,8,0,0,294.0710788297399,40,4.3,0.9,0.95,1.0,134,118.0,118.0,,132.0,,30.24896692450835
